,Course Code,Course Title,Description
5618,HISTORY 275E,Core Courses in the Literature of the Several Fields of History: Latin America,To provide a broad survey of the literature and historiographical problems of the different fields in history. Core Courses in the Literature of the Several Fields of History: Latin America
5619,HISTORY 275F,Core Courses in the Literature of the Several Fields of History: Asia,To provide a broad survey of the literature and historiographical problems of the different fields in history. Core Courses in the Literature of the Several Fields of History: Asia
5620,HISTORY 275M,Core Courses in the Literature of the Several Fields of History: Middle East,To provide a broad survey of the literature and historiographical problems of the different fields in history. Core Courses in the Literature of the Several Fields of History: Middle East
5621,HISTORY 275S,Core Courses in the Literature of the Several Fields of History: History of Science,To provide a broad survey of the literature and historiographical problems of the different fields in history. Core Courses in the Literature of the Several Fields of History: History of Science
5622,HISTORY 275Y,"Core Courses in the Literature of the Several Fields of History: Yearlong, 2-unit","To provide a broad survey of the literature and historiographical problems of the different fields in history. Core Courses in the Literature of the Several Fields of History: Yearlong, 2-unit"
5623,HISTORY 280A,Advanced Studies: Sources/General Literature of the Several Fields: Ancient,For precise schedule of offerings see department catalog during pre-enrollment week each semester. Advanced Studies: Sources/General Literature of the Several Fields: Ancient
5624,HISTORY 280B,Advanced Studies: Sources/General Literature of the Several Fields: Europe,For precise schedule of offerings see department catalog during pre-enrollment week each semester. Advanced Studies: Sources/General Literature of the Several Fields: Europe
5625,HISTORY 280D,Advanced Studies: Sources/General Literature of the Several Fields: United States,For precise schedule of offerings see department catalog during pre-enrollment week each semester. Advanced Studies: Sources/General Literature of the Several Fields: United States
5626,HISTORY 280E,Advanced Studies: Sources/General Literature of the Several Fields: Latin America,For precise schedule of offerings see department catalog during pre-enrollment week each semester. Advanced Studies: Sources/General Literature of the Several Fields: Latin America
5627,HISTORY 280F,Advanced Studies: Sources/General Literature of the Several Fields: Asia,For precise schedule of offerings see department catalog during pre-enrollment week each semester. Advanced Studies: Sources/General Literature of the Several Fields: Asia
5628,HISTORY 280G,Advanced Studies: Sources/General Literature of the Several Fields: Asia (For Ph.D. Candidates),For precise schedule of offerings see department catalog during pre-enrollment week each semester. Advanced Studies: Sources/General Literature of the Several Fields: Asia (For Ph.D. Candidates)
5629,HISTORY 280H,Advanced Studies: Sources/General Literature of the Several Fields: Africa,For precise schedule of offerings see department catalog during pre-enrollment week each semester. Advanced Studies: Sources/General Literature of the Several Fields: Africa
5630,HISTORY 280M,Advanced Studies: Sources/General Literature of the Several Fields: Middle East,For precise schedule of offerings see department catalog during pre-enrollment week each semester. Advanced Studies: Sources/General Literature of the Several Fields: Middle East
5631,HISTORY 280N,Advanced Studies: Sources/General Literature of the Several Fields: Canada,For precise schedule of offerings see department catalog during pre-enrollment week each semester. Advanced Studies: Sources/General Literature of the Several Fields: Canada
5632,HISTORY 280S,Advanced Studies: Sources/General Literature of the Several Fields: History of Science,For precise schedule of offerings see department catalog during pre-enrollment week each semester. Advanced Studies: Sources/General Literature of the Several Fields: History of Science
5633,HISTORY 280U,Advanced Studies: Sources/General Literature of the Several Fields: Studies in Comparative History,For precise schedule of offerings see department catalog during pre-enrollment week each semester. Advanced Studies: Sources/General Literature of the Several Fields: Studies in Comparative History
5634,HISTORY 281,Paleography and Other Auxiliary Sciences,"Introduction to the scholarly handling of texts, whether ancient or modern, inscriptions or manuscripts, and instruction in the methodologies, tools, sources, and the editing and use of texts relevant to a particular field of history; instruction in any auxiliary science requisite for historical research. Paleography and Other Auxiliary Sciences"
5635,HISTORY 283,Historical Method and Theory,"This seminar provides a broad overview of the discipline of History. Beyond examining influential works that continue to shape how we write, teach, and think about history, it familiarizes students with important subfields of the discipline, and seminal thinkers who helped shape them. Though the course probes no topic or approach in depth, it does aim to facilitate a working knowledge of a range of methods and theoretical vocabularies with which historians should be conversant. Students must take this course in their first semester. Historical Method and Theory"
5636,HISTORY 285A,Research Seminars: Ancient,For precise schedule of offerings see department catalog during pre-enrollment week each semester. Research Seminars: Ancient
5637,HISTORY 285B,Research Seminars: Europe,For precise schedule of offerings see department catalog during pre-enrollment week each semester. Research Seminars: Europe
5638,HISTORY 285D,Research Seminars: United States,For precise schedule of offerings see department catalog during pre-enrollment week each semester. Research Seminars: United States
5639,HISTORY 285E,Research Seminars: Latin America,For precise schedule of offerings see department catalog during pre-enrollment week each semester. Research Seminars: Latin America
5640,HISTORY 285F,Research Seminars: Asia,For precise schedule of offerings see department catalog during pre-enrollment week each semester. Research Seminars: Asia
5641,HISTORY 285H,Research Seminars: Africa,For precise schedule of offerings see department catalog during pre-enrollment week each semester. Research Seminars: Africa
5642,HISTORY 285L,Research Seminars: Legal History,For precise schedule of offerings see department catalog during pre-enrollment week each semester. Research Seminars: Legal History
5643,HISTORY 285M,Research Seminars: Middle East,For precise schedule of offerings see department catalog during pre-enrollment week each semester. Research Seminars: Middle East
5644,HISTORY 285S,Research Seminars: History of Science,For precise schedule of offerings see department catalog during pre-enrollment week each semester. Research Seminars: History of Science
5645,HISTORY 285U,Research Seminars: Studies in Comparative History,For precise schedule of offerings see department catalog during pre-enrollment week each semester. Research Seminars: Studies in Comparative History
5646,HISTORY 287,Becoming a Historian,"This class explores what is happening to higher education and the historical profession in the contemporary world and how the job market for historians is changing. The aim is to demystify the academy and the historical profession while encouraging deeper thinking about career diversity and development. We will focus on practical questions like how and when you get your reading done, how you prepare for 3rd semester and qualifying exams, visit and use archives, develop research skills, prepare grant proposals, build a CV/Resume, attend conferences and present papers, publish reviews and articles. It will also address how you survive this intensification of academic labor, addressing issues such as mental health and resources for parents. Becoming a Historian"
5647,HISTORY 290,Historical Colloquium,"Colloquium on topics of current research. For precise schedule of offerings, see department catalog during pre-enrollment week each semester. Historical Colloquium"
5648,HISTORY 295,Supervised Research Colloquium,"Preparation, presentation and criticism of research papers. Supervised Research Colloquium"
5649,HISTORY 296,Directed Dissertation Research,Directed dissertation research. Directed Dissertation Research
5650,HISTORY N296,Directed Dissertation Research,8 Week Session Directed dissertation research. Directed Dissertation Research
5651,HISTORY 298,Independent Study for Graduate Students in History,Independent Study for Graduate Students in History
5652,HISTORY 299,Directed Reading,Individual conferences to be arranged. Intended to provide directed reading in subject matter not covered in scheduled seminar offerings. Directed Reading
5653,HISTORY 301,Professional Training: Teaching History,"Preparation for teaching, under the supervision of History faculty, including meeting with supervising faculty and leading discussion sections. Professional Training: Teaching History"
5654,HISTORY 375,Teaching History at the University,"This class introduces graduate students to a variety of theories and techniques used in teaching history at the university. Through discussion, small group activities, and simulations, the course explores core ideas of history pedagogy. It addresses opportunities and challenges in teaching history as well as common classroom situations to develop the foundation for becoming teachers at Berkeley and beyond. The course has two primary goals: (1) to prepare graduate students to teach effectively as GSIs in history classes at Berkeley; and (2) to introduce ideas, practices, and debates in teaching and learning to support graduate students' professional development into independent instructors, in and out of the classroom. Teaching History at the University"
5655,HISTORY 601,Individual Study for Master's Students,"Individual study, in consultation with the graduate adviser, to prepare for student's language examinations and the master's examination. Individual Study for Master's Students"
5656,HISTORY 602,Individual Study for Doctoral Students,"Individual study, in consultation with the graduate adviser, to prepare students for language examinations and the doctoral examination. Individual Study for Doctoral Students"
5657,HUNGARI 1A,Introductory Hungarian,Practical instruction in the Hungarian language. The course can be taken for either 3 or 4 units; the additional unit involves additional assignments. Introductory Hungarian
5658,HUNGARI 1B,Introductory Hungarian,Practical instruction in the Hungarian language. The course can be taken for either 3 or 4 units; the additional unit involves language work and additional written reading assignments. Introductory Hungarian
5659,HUNGARI 100,Readings in Hungarian,"The purpose of this course is to further develop the student's language proficiency in reading, speaking and writing by using interpersonal, interpretive, and presentational communicative modes. Exploration of fascinating aspects of Hungarian culture including elements of literature, contemporary and historical events, pop-culture, and folklore. Students will be able to influence topic selections according to their personal goals and inter ests. Readings in Hungarian"
5660,ICELAND 1A,Beginning Icelandic I,"An introduction to spoken and written modern Icelandic focusing on basic social situations, everyday needs, and simple social transactions. The first semester deals with a variety of topics and interests using primarily the present tense, with limited use of other tenses. Students also develop introductory writing skills in Icelandic on familiar topics. Beginning Icelandic I"
5661,ICELAND 1B,Beginning Icelandic II,"A continuation of the introductory sequence of Beginning Icelandic, this course focuses on basic social situations and common needs, continuing to develop speaking and writing competency with an eye toward expressing more complex ideas in a range of tenses. Icelandic cultural life and history will inform our topics of discussion and vocabulary development. Beginning Icelandic II"
5662,INDONES 1A,Introductory Indonesian,"Survey of grammar, graded exercises, and readings drawn from Indonesian texts, leading to a mastery of basic language patterns, essential vocabulary, and to achievement of basic reading, writing, and conversational competence. Emphasis on developing communicative skills. Introductory Indonesian"
5663,INDONES 1B,Introductory Indonesian,"Survey of grammar, graded exercises, and readings drawn from Indonesian texts, leading to a mastery of basic language patterns, essential vocabulary, and to achievement of basic reading, writing, and conversational competence. Emphasis on developing communicative skills. Introductory Indonesian"
5664,INDONES 100A,Intermediate Indonesian,"Readings in Indonesian texts, including newspapers, journals, and literature exploring a variety of styles. Systematic study of grammatical and lexical problems arising from these readings. Advanced exercises in composition, oral and written communicative skills, and cultural competence. Intermediate Indonesian"
5665,INDONES 100B,Intermediate Indonesian,"Readings in Indonesian texts, including newspapers, journals, and literature exploring a variety of styles. Systematic study of grammatical and lexical problems arising from these readings. Advanced exercises in composition, oral and written communicative skills, and cultural competence. Intermediate Indonesian"
5666,INDONES 210A,Seminar in Malay Letters and Oral Traditions,"Various aspects of Indonesian and Malay language, history and development of the language, classical literature, drama, oral literature, modern literature of Indonesia and Malaysia, and dialect studies. Applies various theoretical approaches to the study of the language and literature. Seminar in Malay Letters and Oral Traditions"
5667,INDONES 210B,Seminar in Malay Letters and Oral Traditions,"Various aspects of Malay language and literature, history and development of the language, classical literature, drama, oral literature, modern literature of Indonesia and Malaysia, and dialect studies. Applies various theoretical approaches to the study of the language and literature. Seminar in Malay Letters and Oral Traditions"
5668,INDONES 232,Readings in Modern Indonesian and Malaysian Literature,"This course will focus on the 20th century literatures of Indonesia and Malaysia. Emphasis will be on the socio-cultural matrix of such modern genres as the novel, the short story, and poetry. Lectures and most course work in Indonesian. Readings in Modern Indonesian and Malaysian Literature"
5669,INDONES 290,Special Studies,
5670,INDONES 299,Dissertation Preparation and Related Research,
5671,INDONES 601,Individual Study for Masters Students,
5672,INDONES 602,Individual Study for Doctoral Students,
5673,IND ENG 10,Computer Programming for Analytics,
5674,IND ENG 24,Freshman Seminars,"The Berkeley Seminar Program has been designed to provide new students with the opportunity to explore an intellectual topic with a faculty member in a small-seminar setting. Berkeley Seminars are offered in all campus departments, and topics vary from department to department and semester to semester. Freshman Seminars"
5675,IND ENG 66,A Bivariate Introduction to IE and OR,"This Freshman-level Introductory course will provide an intuitive overview of the fundamental problems addressed and methods in the fields of Industrial Engineering and Operations Research including Constrained Optimization, Human Factors, Data Analytics, Queues and Chains, and Linear Programming. The course will focus on two-dimensional, i.e., bivariate, examples where the problems and methods are amenable to visualization and geometric intuition. The course will discuss applications such as dieting, scheduling, and transportation. This course will not require pre-requisites and will present the core concepts in a self-contained manner that is accessible to Freshmen to provide the foundation for future coursework. A Bivariate Introduction to IE and OR"
5676,IND ENG 98,Supervised Group Study and Research,Supervised group study and research by lower division students. Supervised Group Study and Research
5677,IND ENG 99,Supervised Independent Study and Research,Supervised independent study for lower division students. Supervised Independent Study and Research
5678,IND ENG 115,Industrial and Commercial Data Systems,"Design and implementation of databases, with an emphasis on industrial and commercial applications. Relational algebra, SQL, normalization. Students work in teams with local companies on a database design project. WWW design and queries. Industrial and Commercial Data Systems"
5679,IND ENG 120,Principles of Engineering Economics,"Economic analysis for engineering decision making: Capital flows, effect of time and interest rate. Different methods of evaluation of alternatives. Minimum-cost life and replacement analysis. Depreciation and taxes. Uncertainty; preference under risk; decision analysis. Capital sources and their effects. Economic studies. Formerly Engineering 120. Principles of Engineering Economics"
5680,IND ENG 130,Methods of Manufacturing Improvement,"Analytical techniques for the improvement of manufacturing performance along the dimensions of productivity, quality, customer service, and throughput. Techniques for yield analysis, process control, inspection sampling, equipment efficiency analysis, cycle time reduction, and on-time delivery improvement. Applications on semiconductor manufacturing or other industrial settings. Methods of Manufacturing Improvement"
5681,IND ENG 135,Applied Data Science with Venture Applications,"This highly-applied course surveys a variety of key of concepts and tools that are useful for designing and building applications that process data signals of information. The course introduces modern open source, computer programming tools, libraries, and code samples that can be used to implement data applications. The mathematical concepts highlighted in this course include filtering, prediction, classification, decision-making, Markov chains , LTI systems, spectral analysis, and frameworks for learning from data. Each math concept is linked to implementation using Python using libraries for math array functions (NumPy), manipulation of tables (Pandas), long term storage (SQL, JSON, CSV files), natural language (NLTK), and ML frameworks. Applied Data Science with Venture Applications"
5682,IND ENG 142,Introduction to Machine Learning and Data Analytics,"This course introduces students to key techniques in machine learning and data analytics through a diverse set of examples using real datasets from domains such as e-commerce, healthcare, social media, sports, the Internet, and more. Through these examples, exercises in R, and a comprehensive team project, students will gain experience understanding and applying techniques such as linear regression, logistic regression, classification and regression trees, random forests, boosting, text mining, data cleaning and manipulation, data visualization, network analysis, time series modeling, clustering, principal component analysis, regularization, and large-scale learning. Introduction to Machine Learning and Data Analytics"
5683,IND ENG 142A,Introduction to Machine Learning and Data Analytics,"This course introduces students to key techniques in machine learning and data analytics through a diverse set of examples using real datasets from domains such as e-commerce, healthcare, social media, finance, the Internet, and more. Through these examples, conceptual exercises, data analysis exercises in Python, and a comprehensive team project, students will gain experience understanding and applying techniques such as linear regression , logistic regression, classification and regression trees, random forests, boosting, text mining, data cleaning and manipulation, data visualization, time series modeling, clustering, principal component analysis, regularization, and large-scale learning with neural networks. Introduction to Machine Learning and Data Analytics"
5684,IND ENG 142B,Machine Learning and Data Analytics II,"Following IEOR 142A/242A, this course further introduces students to essential methodologies and recent trends in machine learning and data analytics. The course will bridge theoretical foundations with applied data analytics by using examples and real datasets from domains such as e-commerce, social media, finance, and more. Students will gain experience with various data analytics packages in Python and will deliver a comprehensive team project. Topics include: deep learning, time series and survival analysis, end-to-end learning, causal inference, reinforcement learning, and ethics, fairness and safety in artificial intelligence. Machine Learning and Data Analytics II"
5685,IND ENG 145,Fundamentals of Revenue Management,"Revenue management (RM) is the decision science of efficiently selling a fixed supply of various goods and services when the demand is heterogeneous and uncertain. This undergraduate course will focus on fundamental models and algorithms for RM. Broad usefulness of concepts will be demonstrated through applications in airline reservation systems, retail, advertising, e-commerce and school-student assignments. Fundamentals of Revenue Management"
5686,IND ENG 150,Production Systems Analysis,"Quantitative models for operational and tactical decision making in production systems, including production planning, inventory control, forecasting, and scheduling. Production Systems Analysis"
5687,IND ENG 151,Service Operations Design and Analysis,"This course is concerned with improving processes and designing facilities for service businesses such as banks, health care organizations, telephone call centers, restaurants, and transportation providers. Major topics in the course include design of service processes, layout and location of service facilities, demand forecasting, demand management, employee scheduling, service quality management, and capacity planning. Service Operations Design and Analysis"
5688,IND ENG 153,Logistics Network Design and Supply Chain Management,"We will focus primarily on both quantitative and qualitative issues which arise in the integrated design and management of the entire logistics network. Models and solution techniques for facility location and logistics network design will be considered. In addition, qualitative issues in distribution network structuring, centralized versus decentralized network control, variability in the supply chain, strategic partnerships, and product design for logistics will be considered through discussions and cases. Logistics Network Design and Supply Chain Management"
5689,IND ENG 156,Healthcare Analytics,"With the growing complexity of providing healthcare, it is increasingly important to design and manage health systems using engineering and analytics perspectives. This course will cover topics related to healthcare analytics, including: optimizing chronic disease management, designing matching markets for health systems, developing predictive analytics models, and managing resource utilization. Healthcare Analytics"
5690,IND ENG 160,Nonlinear and Discrete Optimization,"This course introduces unconstrained and constrained optimization with continuous and discrete domains. Convex sets and convex functions; local optimality; KKT conditions; Lagrangian duality; steepest descent and Newton's method. Modeling with integer variables; branch-and-bound method; cutting planes. Models on production/inventory planning, logistics, portfolio optimization, factor modeling, classification with support vector machines. Nonlinear and Discrete Optimization"
5691,IND ENG 162,Linear Programming and Network Flows,"This course addresses modeling and algorithms for optimization of linear constrained optimization problems. The simplex method; theorems of duality; complementary slackness. Applications in production planning and resource allocation. Graph and network problems as linear programs with integer solutions. Algorithms for selected network flow problems. Transportation and logistics problems. Dynamic programming and its role in applications to shortest paths, project management and equipment replacement. Linear Programming and Network Flows"
5692,IND ENG 164,Introduction to Optimization Modeling,"Designed for students from any science/engineering major, this upper-division course will introduce students to optimization models, and train them to use software tools to model and solve optimization problems. The main goal is to develop proficiency in common optimization modeling languages, and learn how to integrate them with underlying optimization solvers. Students will work primarily on modeling exercises, which will develop confidence in modeling and solve optimization methods using software packages, and will require some programming. Review of linear and nonlinear optimization models, including optimization problems with discrete decision variables. Applications to practical problems from engineering and data science. Introduction to Optimization Modeling"
5693,IND ENG 165,"Engineering Statistics, Quality Control, and Forecasting","This course will introduce students to basic statistical techniques such as parameter estimation, hypothesis testing, regression analysis, analysis of variance. Applications in forecasting and quality control. Engineering Statistics, Quality Control, and Forecasting"
5694,IND ENG 166,Decision Analytics,"Introductory course on the theory and applications of decision analysis. Elective course that provides a systematic evaluation of decision-making problems under uncertainty. Emphasis on the formulation, analysis, and use of decision-making techniques in engineering, operations research and systems analysis. Includes formulation of risk problems and probabilistic risk assessments. Graphical methods and computer software using event trees, decision trees, and influence diagrams that focus on model design. Decision Analytics"
5695,IND ENG 169,Integer Optimization,"This course addresses modeling and algorithms for integer programming problems, which are constrained optimization problems with integer-valued variables. Flexibility of integer optimization formulations; if-then constraints, fixed-costs, etc. Branch and Bound; Cutting plane methods; polyhedral theory. Applications in production planning, resource allocation, power generation, network design. Alternate formulations for integer optimization: strength of Linear Programming relaxations. Algorithms for integer optimization problems. Specialized strategies by integer programming solvers. Integer Optimization"
5696,IND ENG 170,Industrial Design and Human Factors,"This course surveys topics related to the design of products and interfaces ranging from alarm clocks, cell phones, and dashboards to logos, presentations, and web sites. Design of such systems requires familiarity with human factors and ergonomics, including the physics and perception of color, sound, and touch, as well as familiarity with case studies and contemporary practices in interface design and usability testing. Students will solve a series of design problems individually and in teams. Industrial Design and Human Factors"
5697,IND ENG 171,Berkeley Changemaker: Ethical and Effective Entrepreneurship in High Tech,"This course emphasizes the three Berkeley Changemaker pillars of critical thinking, effective communication, and productive collaboration. It combines critical examination of entrepreneurial challenges with strategic, ethical, and leadership theories. It develops verbal and collaborative leadership skills, through flipped classroom and intense case discussions, a team project, and a formal final presentation of the project. The case discussions in particular will develop effective listening, real-time analysis, and verbal leadership skills. The project will challenge you to analyze a current or historical ethical challenge in a high technology industry, or analyze the ethical implications of your own entrepreneurial plans. Berkeley Changemaker: Ethical and Effective Entrepreneurship in High Tech"
5698,IND ENG 172,Probability and Risk Analysis for Engineers,"This is an introductory course in probability designed to develop a good understanding of uncertain phenomena and the mathematical tools used to model and analyze it. Applications will be given in such areas as reliability theory, risk theory, inventory theory, financial models, and computer science, among others. This course is a probability course and cannot be used to fulfill any engineering unit or elective requirements. Probability and Risk Analysis for Engineers"
5699,IND ENG 173,Introduction to Stochastic Processes,"This is an introductory course in stochastic models. It builds upon a basic course in probability theory and extends the concept of a single random variable into collections of random variables known as stochastic processes. The course focuses on discrete-time Markov chains, Poisson process, continuous-time Markov chains, and renewal theory. It also discusses applications to queueing theory, risk analysis and reliability theory. Along with the theory, the course covers stochastic simulation techniques that will allow students to go beyond the models and applications discussed in the course. Introduction to Stochastic Processes"
5700,IND ENG 174,Simulation for Enterprise-Scale Systems,"Introductory course on design, programming, and statistical analysis of simulation methods and tools for enterprise-scale systems such as traffic and computer networks, health-care and financial systems, and factories. Topics include the types of problems that can be solved by such methods. Programming material includes the theory behind random variable generation for a variety of common variables. Advanced techniques such as variance reduction , simulation optimization, or meta-modeling are considered. Student teams implement an enterprise-scale simulation in a semester-length design project. Simulation for Enterprise-Scale Systems"
5701,IND ENG 180,Senior Project,"Application of systems analysis and industrial engineering to the analysis, planning, and/or design of industrial, service, and government systems. Consideration of technical and economic aspects of equipment and process design. Students work in teams under faculty supervision. Topics vary yearly. Senior Project"
5702,IND ENG 190B,Advanced Topics in Industrial Engineering and Operations Research: Entrepreneurial Marketing and Finance,"The 190 series cannot be used to fulfill any engineering requirement (engineering units, courses, technical electives, or otherwise). Advanced Topics in Industrial Engineering and Operations Research: Entrepreneurial Marketing and Finance"
5703,IND ENG 190C,Advanced Topics in Industrial Engineering and Operations Research,"The 190 series cannot be used to fulfill any engineering requirement (engineering units, courses, technical electives, or otherwise). Advanced Topics in Industrial Engineering and Operations Research"
5704,IND ENG 190D,Advanced Topics in Industrial Engineering and Operations Research,"The 190 series cannot be used to fulfill any engineering requirement (engineering units, courses, technical electives, or otherwise). Advanced Topics in Industrial Engineering and Operations Research"
5705,IND ENG 190F,Advanced Topics in Industrial Engineering and Operations Research,"The 190 series cannot be used to fulfill any engineering requirement (engineering units, courses, technical electives, or otherwise). Advanced Topics in Industrial Engineering and Operations Research"
5706,IND ENG 190G,Advanced Topics in Industrial Engineering and Operations Research,"The 190 series cannot be used to fulfill any engineering requirement (engineering units, courses, technical electives, or otherwise). Advanced Topics in Industrial Engineering and Operations Research"
5707,IND ENG 190H,Cases in Global Innovation,"This course is designed primarily for upper-level undergraduate and graduate students interested in examining the major challenges and success factors entrepreneurs and innovators face in globalizing a company, product, or service. Over the duration of this course, students will examines case studies of early, mid-stage, and large-scale enterprises as they seek to start a new venture, introduce a new product or service, or capitalize on global economic trends to enhance their existing business. The course content exposes students interested in internationally oriented careers to the strategic thinking involved in international engagement and expansion. Cases will include both U.S. companies seeking to enter emerging markets and emerging market companies looking to expand within their own nations or into markets in developed nations. The course is focused around intensive study of actual business situations through rigorous case-study analysis. Cases in Global Innovation"
5708,IND ENG 190I,Cases in Global Innovation: China,"This course is designed primarily for upper-level undergraduate and graduate students interested in examining the major challenges and success factors entrepreneurs and innovators face in globalizing a company product or service, with a focus on China. Over the duration of this course, students will examine case studies of foreign companies seeking to start a new venture, introduce a new product or service to the China market, or domestic Chinese companies seeking to adapt a U.S. or western business model to the China market. The course content exposes students interested in internationally oriented careers to the strategic thinking involved in international engagement and expansion and the particularities of the China market and their contrast with the U.S. market. The course is focused around intensive study of actual business situations through rigorous case-study analysis and the course size is limited to 30. Cases in Global Innovation: China"
5709,IND ENG 190K,Cases in Global Innovation: South Asia,"This course is designed primarily for upper-level undergraduate and graduate students interested in examining the major challenges and success factors entrepreneurs and innovators face in conducting business, globalizing a company product or service, or investing in South Asia. Over the duration of this course, students will examine case studies of foreign companies seeking to start a new venture, introduce a new product or service to the South Asian market, or South Asian companies seeking to adapt a U.S or western business model. The course will put this into the larger context of the political, economic, and social climate in several South Asian countries and explore the constraints to doing business, as well as the policy changes that have allowed for a more conducive business environment. Cases in Global Innovation: South Asia"
5710,IND ENG H196A,Operations Research and Management Science Honors Thesis,Individual study and research for at least one academic year on a special problem approved by a member of the faculty; preparation of the thesis on broader aspects of this work. Operations Research and Management Science Honors Thesis
5711,IND ENG H196B,Operations Research and Management Science Honors Thesis,Individual study and research for at least one academic year on a special problem approved by a member of the faculty; preparation of the thesis on broader aspects of this work. Operations Research and Management Science Honors Thesis
5712,IND ENG 197,Undergraduate Field Research in Industrial Engineering,Students work on a field project under the supervision of a faculty member. Course does not satisfy unit or residence requirements for bachelor's degree. Undergraduate Field Research in Industrial Engineering
5713,IND ENG 198,Directed Group Studies for Advanced Undergraduates,Group studies of selected topics. Semester course unit value and contact hours will have a one-to-one ratio. Directed Group Studies for Advanced Undergraduates
5714,IND ENG 199,Supervised Independent Study,Supervised independent study. Enrollment restrictions apply. Supervised Independent Study
5715,IND ENG 210,Python for Analytics,"This introductory course provides students with sufficient background in Python programming language for use in analytics applications as well as potentially conducting research in the area. The course is designed to prepare students for the applied analytics problems and projects they will encounter in advanced analytics courses. It will start with basic programming topics using Python and cover using powerful Python packages such as Numpy, Scipy, Pandas, and Matplotlib that are essential for descriptive, predictive, and prescriptive analytics. Students will work on group projects along with the instructor in order to solidify the lectures into practical experience using Python for analytics. Python for Analytics"
5716,IND ENG 215,Analysis and Design of Databases,"Advanced topics in information management, focusing on design of relational databases, querying, and normalization. New issues raised by the World Wide Web. Research projects on current topics in information technology. Analysis and Design of Databases"
5717,IND ENG 220,Economics and Dynamics of Production,"Analysis of the capacity and efficiency of production systems. Development of analytical tools for improving efficiency, customer service, and profitability of production environments. Design and development of effective industrial production planning systems. Modelling principles are illustrated by reviewing actual large-scale planning systems successfully implemented for naval ship overhaul and for semiconductor manufacturing. Economics and Dynamics of Production"
5718,IND ENG 221,Introduction to Financial Engineering,"A course on financial concepts useful for engineers that will cover, among other topics, those of interest rates, present values, arbitrage, geometric Brownian motion, options pricing, & portfolio optimization. The Black-Scholes option-pricing formula will be derived and studied. Stochastic simulation ideas will be introduced and used to obtain the risk-neutral geometric Brownian motion values for certain types of Asian, barrier, and lookback options. Portfolio optimization problems will be considered both from a mean-variance and from a utility function point of view. Methods for evaluating real options will be presented. The use of mathematical optimization models as a framework for analyzing financial engineering problems will be shown. Introduction to Financial Engineering"
5719,IND ENG 222,Financial Engineering Systems I,"Introductory graduate level course, focusing on applications of operations research techniques, e.g., probability, statistics, and optimization, to financial engineering. The course starts with a quick review of 221, including no-arbitrage theory, complete market, risk-neutral pricing, and hedging in discrete model, as well as basic probability and statistical tools. It then covers Brownian motion, martingales, and Ito's calculus, and deals with risk-neutral pricing in continuous time models. Standard topics include Girsanov transformation, martingale representation theorem, Feyman-Kac formula, and American and exotic option pricings. Simulation techniques will be discussed at the end of the semester, and MATLAB (or C or S-Plus) will be used for computation. Financial Engineering Systems I"
5720,IND ENG 223,Financial Engineering Systems II,"Advanced graduate course for Ph.D. students interested in pursuing a professional/research career in financial engineering. The course will start with a quick review of 222: the basics of Brownian motion, martingales, Ito's calculus, risk-neutral pricing in continuous time models. It then covers rigorously and in depth the most fundamental probability concepts for financial engineers, including stochastic integral, stochastic differential equations , and semi-martingales. The second half of the course will discuss the most recent topics in financial engineering, such as credit risk and analysis, risk measures and portfolio optimization, and liquidity risk and models. Financial Engineering Systems II"
5721,IND ENG 224,Portfolio and Risk Analytics,"The course aims to train students in hands-on statistical, optimization, and data analytics for quantitative portfolio and risk management. In addition, the course will introduce elements of financial markets and asset classes. The emphasis will be on computational methods such as variants of GARCH, Black-Litterman, conic optimization, Monte Carlo simulation for risk and optimization, factor modeling. Students will undertake computational assignments and a group project. They will also manage hypothetical portfolios throughout the course. Portfolio and Risk Analytics"
5722,IND ENG C227A,Introduction to Convex Optimization,"The course covers some convex optimization theory and algorithms, and describes various applications arising in engineering design, machine learning and statistics, finance, and operations research. The course includes laboratory assignments, which consist of hands-on experience. Introduction to Convex Optimization"
5723,IND ENG C227B,Convex Optimization and Approximation,"Convex optimization as a systematic approximation tool for hard decision problems. Approximations of combinatorial optimization problems, of stochastic programming problems, of robust optimization problems (i.e., with optimization problems with unknown but bounded data), of optimal control problems. Quality estimates of the resulting approximation. Applications in robust engineering design, statistics , control, finance, data mining, operations research. Convex Optimization and Approximation"
5724,IND ENG 230,Economics of Supply Chains,"This course is geared towards understanding operational, strategic, and tactical aspects of supply chain man agement. Topics covered are from a broad range that includes demand modeling, inventory management, facility location as well as process flexibility, contracting, and auctions. Important models (both centralized and decentralized) for understanding the design, operation, and evaluation of supply chains will be discussed with the goal of developing a holistic understanding of supply chain management. Students will be exposed to the key concepts through a mixture of foundational theory and case studies from a variety of businesses. The course is intended for graduate students at the Masters level looking for a concrete introduction Economics of Supply Chains"
5725,IND ENG 231,"Introduction to Data Modeling, Statistics, and System Simulation","This course uses simulation models for analyzing and optimizing systems where the underlying processes and/or parameters are not fully known, but data may be available, sampled, or artificially generated. Monte Carlo simulations are used in a weekly laboratory to model systems that may be too complex to approximate accurately with deterministic, stationary, or static models; and to measure the robustness of predictions and manage risks in decisions based on data-driven models. Introduction to Data Modeling, Statistics, and System Simulation"
